search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
1386, Caixa Som Ws-887 Pequena Bluetooth Usb Sd Radio Recarregavel ,72,NA,"
			
				Novo
			
			
				
					 - 
				
				37
				vendidos
			
		",(25 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 604
		
		 sem juros
		
	

	
		",04,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.0,2,https://perfil.mercadolivre.com.br/TNT+TECNOLOGIA,https://produto.mercadolivre.com.br/MLB-914277590-caixa-som-ws-887-pequena-bluetooth-usb-sd-radio-recarregavel-_JM,NA,NA,NA,NA,NA,#914277590,wster,WS-887,10 W,Comum,NA,NA,Audio,WS-887,Bivolt,Woofer,1,redondo,digital,NA,USB,NA,NA,NA,NA,NA,NA
1387, Caixinha Caixa Som Charge 3 Mini Bluetooth Potende Promoção ,45,NA,"
			
				Novo
			
			
				
					 - 
				
				50
				vendidos
			
		",(42 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 765
		
		 sem juros
		
	

	
		",65,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/CRHA5032219,https://produto.mercadolivre.com.br/MLB-1274598929-caixinha-caixa-som-charge-3-mini-bluetooth-potende-promoco-_JM,NA,NA,NA,NA,NA,#1274598929,JBL,3 mini,25 W,Tweeter,NA,NA,Creature,NA,NA,Tweeter,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,400 g,NA
1388," Caixa De Som Jbl, Boombox, 2x30 Watts, Preto ",1936,NA,"
			
			
				
				8
				vendidos
			
		",(232 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 18513
		
		 sem juros
		
	

	
		",13,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,100,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1002516224-caixa-de-som-jbl-boombox-2x30-watts-preto-_JM,87,5,1,3,4,#1002516224,JBL,28910827,60 W,Ativo,NA,NA,NA,NA,NA,NA,Portátil,Caixa,.,NA,NA,NA,25.4 cm,19.5 cm,45.8 cm,5.25 kg,NA
1389, Micro System Jbl Ms202 Bluetooth Usb Cd Mp3 Player Relógio ,843,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7033
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1182760123-micro-system-jbl-ms202-bluetooth-usb-cd-mp3-player-relogio-_JM,NA,NA,NA,NA,NA,#1182760123,JBL,MS202,10 W,Ativo,NA,NA,NA,NA,NA,NA,Indefinido,Mini System,NA,NA,NA,NA,21.5 cm,11 cm,37.5 cm,NA,NA
1390, Caixa De Som Amplificada Bluetooth 15w ,197,NA,"
			
				Novo
			
			
		",(1000 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1642
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VALVOLANDIAPILHASEBATERIAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=hJUSyOPA6fmoa8O6zvjiT%2FiQmzu%2BdoYUvZJnryxltHZFFbCOSjr0uGH2v9bDphkJCA1xyjFu2GOPtcCQ5NPf7gv4kENwEU0qKja4Z2L2t3osUcfcFpZSSayqsb7719yAtiWunpapRkFptmCgN8oPaYGzy8JvuSgnmVmKd%2FVfcPMg4Oh2S%2B9FWoN7eU27apj7xfEJ2BiakeSTmnoUhOjtwjEq2HqwJtpaiYWaC0HtXF0ucz9fHx3iUF%2BdRt0nY5Wh5YNOZGavfZxvyztS8kyEX3SlfvC078bHMejbBq8zXi9zOSYoeewAo2NfdsO%2FRXSfv482r3N89x2lka1J%2FPxpH0n5Cm8abpShHdlVTxIzdTtbObuRDMCF%2BX0FEE29yJyFl4iW9zR8HF8VrMXD6qhOTIIyEuwwZ6Kq1uyNf14gQO0Ur620KNeV9FsVv%2Bs9qD560m5fn%2FIq0qoGOMw2QC3kCXLbvBoudhYtAkHE%2Bl1O%2FhIJr1P0m1Fj4O9z2r0JMne7%2F%2F1g%2FFe08U7vEft4AhD6REpj%2Fn5mkDAYUwjSacw4oiZQK2YfcBbqPC1VC7B4k8BwWJ%2B9KLel0osCHSPYrCKu2QgFviQ7Wu%2Fj%2F79P0Nw4pxJhLHutLpxRGglK8jjs0huZQVb77oaLQNEABhcQgQ%2BUUJPaDeKSvEsHfSUvPmJURntmtkVULjGj83fW91fi4djLTqhhABqBr2V3I%2F2zH%2FRHAgyva1dYfgyn%2BnjjCKPBdeDnMcY824thZBK8ztF9Kl%2FxcSO1h%2BEDV8yydImFLIbE9GbkzAkh%2FrdKGRLyoaOh4%2By99jNcOWOnt0GZsKf0BY4PrN4X%2BMxPZeuieR5rRhAQo3QSYE8wuQzzJNUbXG0dpCrDGQniM88eVy4pdAgpyTQqLC6PdvGGGMeitbDboaZYLqYYhqpFBJaaFtcgwaoUY4i7WSm4XTfhub9geHOja6vNVZ8%2Fwyzra60TB9kdng4Itn2D0FkJER298ZI8WWsRnWKZc1SkPD6m9hn4PIT4kpPETLlAEGhx5t7idEsx5tKprquzSRif30ORNHwKGEDtG%2FPl%2F5PHqu6yKMxzaVurcmWjtA%2FelGLez9yli%2FnOMonIcFLTni9ujEodbrOuHLwfjhmdDuGYHubTBoigwp5rR4Qbo9ci9gJMpOaqsguFvzOHcxMJZfcUpuoRjDQmlUN0ug1Lri%2BqM0GoeyHbt4fLdv2ClKD0pX3EOV%2Ft9vcKzapmtM0umof9v61ebUE9zlzQqNEus0rK3dB%2BqHb3d7C56W09tuuZ9QXCpqgddcV4%2F1pL0Q8K473x6vLp8eH%2BqrAigoiPdWFBGBOzkI2lI8s7nuFuY3w5yCMjgvqftBu5jBEs6TYq3BRi4tVrJbxEZzUwV3etiyV3tB8XmJTrdDw%2BrdpeKNv6aExWKBn6Z%2FgueDFqnGSej5vTRnkc%2Fn77k%2BMl3aEf6AjHBmM7Mk3sXd5qBPND1fQnksXdObyIsYzYj4nIPzdVGALlO3PjvaYNWQW8e7ezFLhH7V%2FKvcFaQ2Zq7e8QhkAaA772JR4pIpQHJxp%2BhZor1qFrU70zksEqtV7Eu%2BocHjDIrg9h6kE0nTF4%2BHjEM1HGvG4LHSgAlqy8B3NJ%2Fhocq0xgnOHxJZg27%2BUPXABr2CXqYzg864QdUW%2FDaxhkbsJXJumGJdZVXKvVbr%2FobUJHnK9wXMV1UMx0SxMTJOSm2vGTw6SvQdPd7lAmJre1UbRiN06xbRZJaqFi8foCGsEqRjOIibO585j7upTlnthgiZKLavLPfBnTDtnoWLddw1qg1%2Fhor%2B3xZiYjsTWJ5Ot3P8o0dZirFCmXeosSV9P2ZR%2FmyqrP1xCE5aGRJB05c05Ugf1n4ySlHYhHEaQ2ixbsvE10S8kA75gj,NA,NA,NA,NA,NA,#1177987989,Flex,197,15 W,Super tweeter,NA,NA,NA,NA,NA,Woofer,HORIZONTAL,Torre,5.1,NA,Auxiliar,NA,NA,NA,NA,NA,NA
1391, Caixa Som Portátil Amplificada Bluetooth Recarregavel E22 ,49,NA,"
			
				Novo
			
			
				
					 - 
				
				2930
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 923
		
		 sem juros
		
	

	
		",23,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,369,https://perfil.mercadolivre.com.br/FLATSHOP,https://produto.mercadolivre.com.br/MLB-788838643-caixa-som-portatil-amplificada-bluetooth-recarregavel-e22-_JM,230,93,24,5,17,#788838643,Grasep,D-BH4204,10 W,Subwoofer,NA,NA,VoxMax,NA,NA,NA,Casa / Praia / Parques / Viagens / Festas / Churrascos,Torre,NA,2,USB,NA,NA,NA,NA,300 g,NA
1392, Caixa De Som Bluetooth Kaidi Kd813 Preto ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1250
		
		 sem juros
		
	

	
		",50,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/T.K.S.,https://produto.mercadolivre.com.br/MLB-1206798057-caixa-de-som-bluetooth-kaidi-kd813-preto-_JM,NA,NA,NA,NA,NA,#1206798057,Kaidi,KD813,4.5 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA
1393, Caixa Som Banheiro Prova Dágua Bluetooth ,19,NA,"
			
				Novo
			
			
				
					 - 
				
				38
				vendidos
			
		",(962 disponíveis),"
	
		
			
		
		3x 
		
			
				R$ 673
		
		 sem juros
		
	

	
		",73,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,2,https://perfil.mercadolivre.com.br/DIGITALBAISEC,https://produto.mercadolivre.com.br/MLB-1137610172-caixa-som-banheiro-prova-dagua-bluetooth-_JM,NA,NA,NA,NA,NA,#1137610172,Baisec,caixinha de som,10 W,NA,NA,NA,NA,NA,NA,NA,Varios,redondo,NA,NA,NA,NA,NA,NA,NA,NA,NA
1394, Caixa Bluetooth Som Portatil Taramps Bt10 Bt-10 3w Rms ,78,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 754
		
		 sem juros
		
	

	
		",54,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,52,https://perfil.mercadolivre.com.br/BLACK+ONECARROS,https://produto.mercadolivre.com.br/MLB-1261572789-caixa-bluetooth-som-portatil-taramps-bt10-bt-10-3w-rms-_JM,44,7,1,0,0,#1261572789,Taramps,BT 10,3 W,Ativo,NA,NA,NA,NA,NA,Caixa Portátil,Portátil,Caixa,2.1,1,Auxiliar,NA,8.5 cm,4.3 cm,7.8 cm,NA,NA
1395," Jbl Go 2, Bluetooth, À Prova D´água, 3w, Gold - Jbl ",184,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",1,"
	
		
			
		
		12x 
		
			
				R$ 1541
		
		 sem juros
		
	

	
		",41,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1531,https://perfil.mercadolivre.com.br/IZZYGAMES,https://produto.mercadolivre.com.br/MLB-1210766858-jbl-go-2-bluetooth-prova-dagua-3w-gold-jbl-_JM,1406,98,19,4,4,#1210766858,JBL,JBL GO2,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80 dB,NA,NA,NA,270 g,NA
1396, Caixa Caixinha Som Portatil Bluetooth Mp3 Usb Cartao Fm E13 ,75,NA,"
			
				Novo
			
			
				
					 - 
				
				8
				vendidos
			
		",(316 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 633
		
		 sem juros
		
	

	
		",33,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/MAGAZINEHELENA,https://produto.mercadolivre.com.br/MLB-905792917-caixa-caixinha-som-portatil-bluetooth-mp3-usb-cartao-fm-e13-_JM,NA,NA,NA,NA,NA,#905792917,Yes,MS-230BT,8 W,NA,NA,NA,Mobile Speaker,NA,NA,NA,NA,NA,NA,1,USB,NA,NA,NA,NA,300 g,NA
1397, Caixa De Som Bluetooth Portátil Gorila Sound - Gorila Shield ,259,NA,"
			
			
				
				10
				vendidos
			
		",(990 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2167
		
		 sem juros
		
	

	
		",67,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,3.0,1,https://perfil.mercadolivre.com.br/GORILASHIELD.COM.BR?brandId=1976,https://produto.mercadolivre.com.br/MLB-1173167794-caixa-de-som-bluetooth-portatil-gorila-sound-gorila-shield-_JM,NA,NA,NA,NA,NA,#1173167794,Gorila Shield,Portátil,NA,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA
1398, Caixa De Som Amplificada 400w Bluetooth Usb Sd Fm Microfone ,789,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(955 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 7549
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,72,https://perfil.mercadolivre.com.br/PANCAD%C3%83O+ELETR%C3%94NICOS,https://produto.mercadolivre.com.br/MLB-1107863816-caixa-de-som-amplificada-400w-bluetooth-usb-sd-fm-microfone-_JM,53,10,6,1,2,#1107863816,Sumay,Thunder Black 400,400 W,Ativo,NA,NA,caixa portatil,SM-CAP12T,110V/220V (Bivolt),NA,NA,Caixa,NA,1,USB,NA,NA,NA,NA,11.2 kg,NA
1399," Caixa De Som Jbl, Boombox, 60 Watts, Camuflada ",1974,NA,"
			
			
				
				1
				vendido
			
		",(21 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 16458
		
		 sem juros
		
	

	
		",58,NA,Envio para todo o país,NA,NA,4.5,542,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1075123304-caixa-de-som-jbl-boombox-60-watts-camuflada-_JM,426,45,22,20,29,#1075123304,JBL,Boombox,60 W,Ativo,NA,NA,NA,NA,NA,Tweeter,Portátil,Caixa,.,NA,NA,NA,25.4 cm,19.5 cm,45.8 cm,5.25 kg,NA
1400, Caixa De Som Amplificada ,499,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4158
		
		 sem juros
		
	

	
		",58,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/ANELISEPUFAL,https://produto.mercadolivre.com.br/MLB-1207385637-caixa-de-som-amplificada-_JM,NA,NA,NA,NA,NA,#1207385637,Sumay,Primus 500BT,250 W,Ativo,NA,NA,NA,NA,NA,ativo,dIversos,12 polegadas,5.1,NA,USB,NA,NA,NA,NA,7.5 kg,NA
1401, Caixa De Som Bluetooth E Microfone Sem Fio Eclapower Br12 ,530,NA,"
			
				Novo
			
			
				
					 - 
				
				43
				vendidos
			
		",(392 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4417
		
		 sem juros
		
	

	
		",17,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,31,https://perfil.mercadolivre.com.br/ECLAIMPORTS,https://produto.mercadolivre.com.br/MLB-1093038429-caixa-de-som-bluetooth-e-microfone-sem-fio-eclapower-br12-_JM,21,5,3,2,0,#1093038429,ECLAPOWER,BR12,200 W,Woofer,NA,NA,NA,NA,NA,Woofer,"residencia, festas, ranchos",Caixa,NA,NA,NA,NA,NA,NA,NA,NA,NA
1402, Caixa Residencial Lazer Comércio Bar Rancho 110/220 Selenium ,779,NA,"
			
				Novo
			
			
				
					 - 
				
				1
				vendido
			
		",(9997 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/OESTESOM,https://produto.mercadolivre.com.br/MLB-1090565769-caixa-residencial-lazer-comercio-bar-rancho-110220-selenium-_JM,NA,NA,NA,NA,NA,#1090565769,JBL Selenium,CAIXA BLUETOOTH,NA,NA,NA,NA,NA,NA,NA,12,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
1403, Caixa De Som Philco 100w Bluetooth Aux Dual Usb Microfone Fm ,495,NA,"
			
				Novo
			
			
				
					 - 
				
				37
				vendidos
			
		",(6 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 4129
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,138,https://perfil.mercadolivre.com.br/LOJASCAPRI,https://produto.mercadolivre.com.br/MLB-841442323-caixa-de-som-philco-100w-bluetooth-aux-dual-usb-microfone-fm-_JM,113,16,5,2,2,#841442323,Philco,PHT3000,100 W,Ativo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,20.2 cm,20.1 cm,49 cm,5.1 kg,NA
1404, Caixa Som Amplificada Portatil Bluetooth Potente 147bt ,65,NA,"
			
				Novo
			
			
				
					 - 
				
				4
				vendidos
			
		",(54 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 547
		
		 sem juros
		
	

	
		",47,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/BRANCASHOP,https://produto.mercadolivre.com.br/MLB-941340922-caixa-som-amplificada-portatil-bluetooth-potente-147bt-_JM,NA,NA,NA,NA,NA,#941340922,Yes,MS-213BT,NA,Ativo,NA,NA,Reader Speaker,NA,110V/220V (Bivolt),NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,Preto
1405, Caixa Som Bluetooth Boombox Grande 60w + Carregador Brinde ,299,NA,"
			
				Novo
			
			
		",(27 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2495
		
		 sem juros
		
	

	
		",95,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/COMPRE+F%C3%81CILBR1,https://produto.mercadolivre.com.br/MLB-1289023111-caixa-som-bluetooth-boombox-grande-60w-carregador-brinde-_JM,NA,NA,NA,NA,NA,#1289023111,Boombox,Boombox Grande,60 W,Passivo,1800 MHz,150 MHz,Caixa Som,Boombox Com Alça,NA,Circular Passivo,NA,Circular,5.1,2,USB,90 dB,NA,NA,NA,1500 g,NA
1406, Adaptador C/ Usb Bluetooth P/ Carro Musica Som Audio ,29,NA,"
			
				Novo
			
			
				
					 - 
				
				52
				vendidos
			
		",(58 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 646
		
		 sem juros
		
	

	
		",46,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,6,https://perfil.mercadolivre.com.br/PLANETA_DAS_COISAS,https://produto.mercadolivre.com.br/MLB-843804740-adaptador-c-usb-bluetooth-p-carro-musica-som-audio-_JM,4,2,0,0,0,#843804740,Sigma,Bluetooth,0 W,0,NA,NA,NA,NA,NA,Bluetooth,Carro,Padrão,NA,NA,NA,NA,NA,NA,NA,NA,NA
1407, Som Mondial 100w Mco-08 Multi Connect Thunder Street ,277,NA,"
			
			
				
				9
				vendidos
			
		",(109 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2650
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,NA,NA,NA,NA,https://perfil.mercadolivre.com.br/GAZINSHOP?brandId=1117,https://produto.mercadolivre.com.br/MLB-1189737170-som-mondial-100w-mco-08-multi-connect-thunder-street-_JM,NA,NA,NA,NA,NA,#1189737170,Mondial,MCO-08,100 W,NA,100 kHz,20 kHz,Multi Connect,NA,NA,NA,NA,NA,NA,NA,Auxiliar,75 dB,42.8 cm,19.2 cm,22.3 cm,2.68 kg,NA
1408, Caixa De Som Amplificada Portatil Bluetooth Usb Fm Trc 218c ,145,NA,"
			
			
				
				23
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1208
		
		 sem juros
		
	

	
		",08,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/DELOX+OFICIAL?brandId=1640,https://produto.mercadolivre.com.br/MLB-1068317131-caixa-de-som-amplificada-portatil-bluetooth-usb-fm-trc-218c-_JM,NA,NA,NA,NA,NA,#1068317131,TRC,TRC218C,25 W,Ativo,NA,NA,TRC 218,NA,(Bivolt),NA,NA,Caixa,NA,NA,USB,NA,NA,NA,NA,NA,NA
1409, Caixa De Som Bluetooth Ecopower Super Potente + Microfone ,349,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2916
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/EAESPORTS,https://produto.mercadolivre.com.br/MLB-1189921363-caixa-de-som-bluetooth-ecopower-super-potente-microfone-_JM,NA,NA,NA,NA,NA,#1189921363,Ecopower,Ep-2241,30 W,protetor,NA,NA,NA,NA,NA,NA,Base,NA,não,NA,NA,NA,NA,NA,NA,NA,NA
1410, Caixa De Som Portátil Xiaomi Speaker 2 Bluetooth 4.2 ,174,NA,"
			
				Novo
			
			
				
					 - 
				
				7
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1672
		
		 sem juros
		
	

	
		",72,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/LUCATONYE,https://produto.mercadolivre.com.br/MLB-1245815807-caixa-de-som-portatil-xiaomi-speaker-2-bluetooth-42-_JM,NA,NA,NA,NA,NA,#1245815807,Xiaomi,Speaker 2,5 W,NA,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,NA,NA,NA,NA,NA,0.155 kg,NA
1411, Caixa Amplificada 8 Bluetooth Master Voice + Microfone Mv8 ,209,NA,"
			
				Novo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1742
		
		 sem juros
		
	

	
		",42,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,895,https://perfil.mercadolivre.com.br/CASAR%C3%83O+SOM5,https://produto.mercadolivre.com.br/MLB-1266358323-caixa-amplificada-8-bluetooth-master-voice-microfone-mv8-_JM,723,119,36,6,11,#1266358323,JBL,Wind,NA,Woofer,NA,NA,NA,NA,NA,Woofer,De piso,Caixa,NA,NA,Auxiliar,NA,NA,NA,NA,2.7 kg,NA
1412, Fone De Ouvido Jbl T500bt T500 Bt 500bt Com Bluetooth ,249,NA,"
			
				Novo
			
			
				
					 - 
				
				17
				vendidos
			
		",(256 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VPSOM,https://produto.mercadolivre.com.br/MLB-739404741-fone-de-ouvido-jbl-t500bt-t500-bt-500bt-com-bluetooth-_JM,NA,NA,NA,NA,NA,#739404741,JBL,T500 Bt,NA,NA,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,NA,USB,1 dB,NA,NA,NA,155 g,NA
1413, Caixa De Som Bluetooth Jbl Charge 4 30w Rms Original ,769,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(49 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6416
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,92,https://perfil.mercadolivre.com.br/PRIMOS+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-1281042502-caixa-de-som-bluetooth-jbl-charge-4-30w-rms-original-_JM,65,11,9,1,6,#1281042502,JBL,Charge 4,30 W,Ativo,NA,NA,NA,NA,NA,Pasivo,NA,pasivo,5.1,NA,NA,NA,NA,NA,NA,965 g,NA
1414, Caixa De Som Colorida Street Mco-08 Bluetooth 100w Rms Luzes ,347,NA,"
			
				Novo
			
			
				
					 - 
				
				3
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2894
		
		 sem juros
		
	

	
		",94,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/SULMART+BR,https://produto.mercadolivre.com.br/MLB-1211845432-caixa-de-som-colorida-street-mco-08-bluetooth-100w-rms-luzes-_JM,NA,NA,NA,NA,NA,#1211845432,Mondial,Thunder Street,100 W,Ativo/Passivo,NA,NA,NA,NA,NA,NA,NA,Caixa,NA,NA,Entrada para Microfone,NA,NA,NA,NA,3.78 kg,NA
1415, Caixa De Som Portátil Bluetooth Com Luzes Jbl Party Box 200 ,1902,NA,"
			
			
				
				1
				vendido
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 18188
		
		 sem juros
		
	

	
		",88,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/QUALITYSP?brandId=515,https://produto.mercadolivre.com.br/MLB-1156792517-caixa-de-som-portatil-bluetooth-com-luzes-jbl-party-box-200-_JM,NA,NA,NA,NA,NA,#1156792517,JBL,Party Box 200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.32 kg,NA
1416, Caixa Amplificada Ll Ll200bt Bluetooth/usb/controle/sd/am/fm ,779,NA,"
			
				Novo
			
			
				
					 - 
				
				2
				vendidos
			
		",(11 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/VSSOM+BTOS,https://produto.mercadolivre.com.br/MLB-805507534-caixa-amplificada-ll-ll200bt-bluetoothusbcontrolesdamfm-_JM,NA,NA,NA,NA,NA,#805507534,LL Audio,ll 200 bt,50 W,Tweeter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,USB,NA,NA,NA,NA,16 kg,NA
1417, 5 Caixinha De Som Bluetooth Mini Speaker 3w ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9996 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,NA,NA,https://perfil.mercadolivre.com.br/UNIVERSAL+ELETRONICA,https://produto.mercadolivre.com.br/MLB-1121238420-5-caixinha-de-som-bluetooth-mini-speaker-3w-_JM,NA,NA,NA,NA,NA,#1121238420,SEM,Mini,3 W,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70 g,NA
